iter	Passed	Remaining
1035	31816	29605
1036	31847	29574
1037	31878	29544
1038	31913	29517
1039	31945	29488
1040	31980	29461
1041	32011	29431
1042	32042	29400
1043	32074	29370
1044	32108	29343
1045	32140	29313
1046	32171	29282
1047	32202	29253
1048	32235	29223
1049	32268	29195
1050	32300	29165
1051	32335	29138
1052	32367	29109
1053	32400	29080
1054	32432	29050
1055	32463	29020
1056	32496	28991
1057	32528	28961
1058	32560	28932
1059	32595	28905
1060	32627	28875
1061	32659	28845
1062	32691	28816
1063	32723	28786
1064	32754	28756
1065	32788	28727
1066	32819	28697
1067	32851	28668
1068	32882	28637
1069	32913	28607
1070	32945	28577
1071	32978	28548
1072	33014	28522
1073	33046	28492
1074	33078	28462
1075	33109	28431
1076	33140	28401
1077	33170	28370
1078	33202	28340
1079	33236	28312
1080	33268	28282
1081	33300	28252
1082	33330	28221
1083	33361	28191
1084	33392	28160
1085	33425	28131
1086	33458	28102
1087	33491	28073
1088	33524	28044
1089	33556	28014
1090	33588	27985
1091	33620	27955
1092	33651	27924
1093	33684	27895
1094	33716	27866
1095	33748	27836
1096	33781	27807
1097	33813	27777
1098	33843	27746
1099	33876	27716
1100	33909	27687
1101	33939	27656
1102	33971	27627
1103	34002	27596
1104	34034	27566
1105	34067	27537
1106	34099	27507
1107	34134	27479
1108	34167	27450
1109	34198	27420
1110	34230	27390
1111	34262	27360
1112	34292	27329
1113	34323	27298
1114	34354	27268
1115	34387	27238
1116	34418	27208
1117	34449	27177
1118	34481	27147
1119	34512	27117
1120	34543	27086
1121	34585	27064
1122	34617	27034
1123	34648	27003
1124	34681	26974
1125	34714	26945
1126	34745	26914
1127	34778	26885
1128	34811	26855
1129	34844	26826
1130	34875	26796
1131	34907	26766
1132	34938	26735
1133	34968	26704
1134	34999	26673
1135	35030	26642
1136	35063	26613
1137	35095	26583
1138	35126	26553
1139	35157	26522
1140	35188	26491
1141	35219	26460
1142	35250	26430
1143	35282	26400
1144	35314	26369
1145	35345	26339
1146	35375	26307
1147	35407	26277
1148	35436	26245
1149	35468	26215
1150	35501	26186
1151	35534	26157
1152	35570	26130
1153	35604	26101
1154	35640	26074
1155	35676	26047
1156	35710	26018
1157	35743	25989
1158	35774	25958
1159	35806	25928
1160	35837	25898
1161	35870	25868
1162	35904	25839
1163	35938	25811
1164	35970	25781
1165	36004	25752
1166	36037	25723
1167	36070	25693
1168	36102	25664
1169	36136	25635
1170	36169	25605
1171	36203	25577
1172	36234	25546
1173	36264	25515
1174	36297	25485
1175	36331	25456
1176	36366	25428
1177	36397	25398
1178	36429	25367
1179	36461	25337
1180	36489	25304
1181	36521	25274
1182	36553	25244
1183	36587	25215
1184	36620	25186
1185	36653	25156
1186	36685	25126
1187	36717	25096
1188	36748	25065
1189	36780	25035
1190	36815	25007
1191	36847	24977
1192	36879	24947
1193	36912	24917
1194	36942	24886
1195	36973	24854
1196	37004	24824
1197	37038	24795
1198	37070	24765
1199	37103	24735
1200	37135	24705
1201	37168	24675
1202	37200	24645
1203	37231	24615
1204	37265	24585
1205	37298	24556
1206	37330	24525
1207	37361	24495
1208	37393	24465
1209	37426	24435
1210	37460	24406
1211	37494	24377
1212	37527	24347
1213	37559	24317
1214	37630	24313
1215	37668	24286
1216	37703	24257
1217	37737	24228
1218	37768	24198
1219	37801	24168
1220	37833	24137
1221	37865	24107
1222	37896	24076
1223	37931	24048
1224	37964	24018
1225	37996	23987
1226	38028	23957
1227	38058	23926
1228	38091	23896
1229	38124	23866
1230	38156	23836
1231	38188	23805
1232	38219	23774
1233	38252	23745
1234	38284	23714
1235	38317	23684
1236	38350	23654
1237	38384	23625
1238	38416	23595
1239	38448	23565
1240	38479	23534
1241	38511	23503
1242	38542	23472
1243	38573	23441
1244	38605	23411
1245	38637	23380
1246	38669	23350
1247	38701	23319
1248	38733	23289
1249	38765	23259
1250	38798	23229
1251	38833	23200
1252	38865	23170
1253	38898	23140
1254	38930	23109
1255	38962	23079
1256	38992	23048
1257	39022	23016
1258	39056	22987
1259	39086	22955
1260	39115	22923
1261	39147	22892
1262	39178	22861
1263	39211	22831
1264	39244	22802
1265	39275	22771
1266	39309	22741
1267	39342	22711
1268	39377	22682
1269	39411	22654
1270	39443	22623
1271	39476	22593
1272	39511	22564
1273	39542	22533
1274	39573	22502
1275	39606	22472
1276	39638	22442
1277	39670	22411
1278	39702	22381
1279	39736	22351
1280	39768	22321
1281	39800	22290
1282	39832	22260
1283	39866	22230
1284	39896	22199
1285	39927	22168
1286	39961	22138
1287	39993	22108
1288	40026	22078
1289	40058	22047
1290	40091	22017
1291	40123	21987
1292	40154	21956
1293	40188	21926
1294	40220	21896
1295	40251	21865
1296	40283	21834
1297	40315	21803
1298	40347	21773
1299	40381	21743
1300	40413	21713
1301	40444	21682
1302	40477	21652
1303	40508	21620
1304	40538	21589
1305	40570	21558
1306	40602	21528
1307	40634	21498
1308	40667	21467
1309	40704	21439
1310	40738	21410
1311	40771	21379
1312	40806	21351
1313	40848	21325
1314	40884	21297
1315	40918	21267
1316	40951	21237
1317	40983	21207
1318	41015	21176
1319	41048	21146
1320	41080	21115
1321	41114	21085
1322	41146	21055
1323	41179	21025
1324	41212	20994
1325	41244	20964
1326	41274	20932
1327	41307	20902
1328	41340	20872
1329	41375	20843
1330	41407	20812
1331	41439	20781
1332	41473	20752
1333	41505	20721
1334	41538	20691
1335	41571	20661
1336	41606	20632
1337	41638	20601
1338	41671	20571
1339	41705	20541
1340	41735	20510
1341	41768	20479
1342	41802	20449
1343	41833	20418
1344	41865	20387
1345	41897	20357
